Source,Target
6zXhOyC07G4spYTHFLm7oo,5nlJ049WJIE7reR0SgUVyF
6zXhOyC07G4spYTHFLm7oo,798kDjwOnvYR4iLHoDR3Gl
6zXhOyC07G4spYTHFLm7oo,0op3EnoEZ0jQY13sbyoSo2
6zXhOyC07G4spYTHFLm7oo,3xvSV6NiocgZuGdVK3n0lE
6zXhOyC07G4spYTHFLm7oo,4UJe0PktQVNe36XTKCRUyP
6zXhOyC07G4spYTHFLm7oo,40tHhop0T30DwienQBmTxb
6zXhOyC07G4spYTHFLm7oo,6B8yfpoefZ8KCgnrp97aQ4
6zXhOyC07G4spYTHFLm7oo,03FGY5MFUz7JNP6yYbiceB
6zXhOyC07G4spYTHFLm7oo,3GBaJmaRSCLv9DZXo5tgRL
6zXhOyC07G4spYTHFLm7oo,5jxwrEuiCDAujXZXIvCShs
6zXhOyC07G4spYTHFLm7oo,3ebwHQYvONnv8xIrW2wYDA
6zXhOyC07G4spYTHFLm7oo,0OVfimlbekXaMrP8IoCzHJ
6zXhOyC07G4spYTHFLm7oo,1qNkvcsEC2Hry31JWkYO3D
6zXhOyC07G4spYTHFLm7oo,3KajPNH0UsaJhWiAf68JYY
6zXhOyC07G4spYTHFLm7oo,4gQzCU2uamGf9aX5DMOnuV
6zXhOyC07G4spYTHFLm7oo,2zSk5pjoQqWROuvp5RUrVL
6zXhOyC07G4spYTHFLm7oo,503mwh1GWEiWy9bzzpiTFW
6zXhOyC07G4spYTHFLm7oo,0oIls1SE66gDuk4BZObFaN
6zXhOyC07G4spYTHFLm7oo,2E7iSyZ5Mv8x5mGu1RcKzT
6zXhOyC07G4spYTHFLm7oo,7Ix9GNTGIUIFBpPC6K0QeP
5nlJ049WJIE7reR0SgUVyF,0op3EnoEZ0jQY13sbyoSo2
5nlJ049WJIE7reR0SgUVyF,3xvSV6NiocgZuGdVK3n0lE
5nlJ049WJIE7reR0SgUVyF,4UJe0PktQVNe36XTKCRUyP
5nlJ049WJIE7reR0SgUVyF,40tHhop0T30DwienQBmTxb
5nlJ049WJIE7reR0SgUVyF,6B8yfpoefZ8KCgnrp97aQ4
5nlJ049WJIE7reR0SgUVyF,3KajPNH0UsaJhWiAf68JYY
5nlJ049WJIE7reR0SgUVyF,5jxwrEuiCDAujXZXIvCShs
5nlJ049WJIE7reR0SgUVyF,4OK4JDuo3ztbXvCZGAlfJZ
5nlJ049WJIE7reR0SgUVyF,6zXhOyC07G4spYTHFLm7oo
5nlJ049WJIE7reR0SgUVyF,1W0p95KwWJEqwYujfD4I3R
5nlJ049WJIE7reR0SgUVyF,03FGY5MFUz7JNP6yYbiceB
5nlJ049WJIE7reR0SgUVyF,2RoEO8VblRUUzcDp0zd1jn
