id,name
4uIoOdivSAzUdJB8CTfP8S,Hernan Figueroa Reyes
0C2W3oO1ZE0u059B5uJiOd,Los Sabandeños
3HpXWG2d9rcleRQlSXkvW8,Rommy Gonzales
74JhFJgvnRd6yB9uVbtvLW,Fredi Leis
4VcTmgGKGuJn56Ac2zNhiH,The Innocence Mission
2fXq7CZ0mq4YlwB2XZ7715,Elbicho
7zt6Af78CalxaPDqORfw8L,Annie
4VhL8KLjVso4vLfOLVViTb,Bridgit Mendler
2sdhZm1TCh9CLoM4QUBsll,Emil Jensen
0M2uAwsLLkF6rJ2vWf1QBT,Samfaina De Colors
35QWdwr5mi5FaUdP4FI7U8,Repúblika Ska
2M3AkCARlOnCENmeLcm0Yg,Acousters
5aOjT1DbSYHA1jylD0zohr,Martín Valverde
6fs2zAuQ7tpU2kGIpyouQh,Nicho Hinojosa
6XYRpcgPIK9OejoVzA7PbC,Txarango
55o2RM7237Ix7XXcbpXnzd,Ara Va De Bo
4gHcu2JoaXJ0mV4aNPCd7N,Benny Sings
5lcnIKXxhUFmSwOv8ytt8o,Peter Löning
7bPs6jf983f0bjRAt1yxDM,Patrick Watson
1t7t8q4zoYHp22JLIx3FM7,Joan Manuel Serrat
4VhEs0xRqmIysn0tdTyLR1,Anegats
0ObLnQU9uCffbwJoBVc8ha,Joan Dausà i Els Tipus d'Interès
2B4ZTS4hFT3IrUFVPHjEmL,Brooke Hogan
58fzPwxNFw1Ae500uB038l,FAVELA
5MraexJKZDrQYzS98kNwie,Sevdaliza
0WI8OfWCRvK4nGHmKfFQmd,Alex Zurdo
5zTPEWVkwm8Bl7ORmaPyyk,Perlita de Huelva
3ldcFTWtteD2ngFojH4acF,Moon Tapes
5H97PlfIWQwDFo46m87g4c,Yolie
7jor4AZS3YofXoHBRjqnlT,Sílvia Comes i Lídia Pujol
4rUfmRETzC3D5IJY9GYAKE,Vive la Palabra
76GWaBetiXXBUtoPm46qif,Gregory and the Hawk
6Zb4pogsJMc7IQvPF18ict,Mayra Alejandra Barajas
1wGocRk7IpEG2NswGmn6Ku,Padre Mario
3LqgxOMfONGBf034jekl9H,Forever Came Calling
7iyQkDvZ3amF09qikHMOro,Angeli
3TQa9pp9tjIBn9Fw1hDPUw,Diesler
4fOiNgabKKNbL7YF6SI3Ia,Manel Camp
3uyGXP74exNBF2EEGpFddA,Tears & Marble
4fGQRiS0hQ6bcIp0Gzd9hG,exmagician
6Fz09OJ5vJGuQfqnzG2JDv,Raul Navarro Jr
3Ju3bW8OaeUmfQKqMtATKr,Second
2GJQcq7Qk2ogKA5BrMcB2b,La Salseta del Poble Sec
3xyRzXuv0vKb4kCzVhqAbS,Non Servium
4BntNFyiN3VGG4hhRRZt9d,The Subways
6cMeSIUgJW7mhX8kBtkjgb,Akwasi Met Rob Dekay
0luDJsRYWbHW2Sj1I5TPrE,La Gossa Sorda
0V1hK2bPPkbrjrnZC549V0,Dani Flaco
70UZ254VvtSUmrfqPOkUQZ,Azure Ray
6QEXex1iCdfguOLBPukfkm,Desakato
6ZsvBr9pLJY16NqVRKO88G,Louis-Jean Cormier
3SnjapTQQ64UrrvwDkGolm,Daniel Higiénico
6bnfKR4Pd2z59VmrYIAfb5,Cacho Jesus Villareal
6uVcDsJBoysOSLLKSN7eoQ,Pati Pla
2hyw2pCPvzZnREKXxx8Krk,Josephine Zwaan
26W3Vb4S0NIdCRhEEJVIqS,Lorena Álvarez y su Banda Municipal
1doQgXssRfKnLx70adszbK,Recondite
6eB9LHASWu1ByuCiyMLr2E,The Four Upsetters
2cjctOuaQdoUAQVpQoPgXj,Lucía Caramés
40tHhop0T30DwienQBmTxb,Manel
3lwRbCTt1qmo0QgXUai8ao,Cacho Castaña
1xQVwAdSzsF8DO76NsZpMK,Viken Arman
6ySO93NA4jVaNFfMRXYtZg,Minks
5DY8Wk5axc4tSiAqbIxH8T,Perlita
2JM2yzMSOgq7VeG6nKm3PY,Alekesam
6pSsE5y0uJMwYj83KrPyf9,Dawn Richard
503mwh1GWEiWy9bzzpiTFW,Antònia Font
3cb9CRWtkBQNjVLQNLP9FE,Capstan
0i6vd2s1fn7orTcWIo62di,Sortilegio
1du424rLDBvCFBABApTlvU,Gerardo Peña
4rJk8GmrNf1g07EsuoZSzJ,Enrique Morente
25THA9HUHoxpCT4LBp7UsZ,Vicentico
